,U_DPTO,U_MPIO,DomesticViolenceCases,Population,Municipio,Departamento,CasesPer1000Habitants
359,18,785,30,5242.0,Solita,Caqueta,5.723006486074018
360,18,860,43,5678.0,Valparaiso,Caqueta,7.5730891158858755
361,19,1,10662,272901.0,Popayan,Cauca,39.069112975034905
362,19,22,69,16523.0,Almaguer,Cauca,4.175997094958543
363,19,50,61,19925.0,Argelia,Cauca,3.0614805520702633
364,19,75,64,18904.0,Balboa,Cauca,3.3855268726195513
365,19,100,106,35625.0,Bolivar,Cauca,2.975438596491228
366,19,110,120,25236.0,Buenos aires,Cauca,4.755111745126011
367,19,130,301,32235.0,Cajibio,Cauca,9.337676438653638
368,19,137,114,35886.0,Caldono,Cauca,3.176726299949841
369,19,142,628,25264.0,Caloto,Cauca,24.85750474984167
370,19,212,201,21633.0,Corinto,Cauca,9.291360421578144
371,19,256,328,38509.0,El tambo,Cauca,8.517489418058116
372,19,290,16,5089.0,Florencia,Cauca,3.144036156415799
373,19,318,159,23775.0,Guapi,Cauca,6.687697160883281
374,19,355,180,26490.0,Inza,Cauca,6.795016987542469
375,19,364,22,16353.0,Jambalo,Cauca,1.3453189017305693
376,19,392,69,9935.0,La sierra,Cauca,6.945143432310015
377,19,397,97,19777.0,La vega,Cauca,4.904687262982252
378,19,418,24,15117.0,Lopez (micay),Cauca,1.5876165905933717
379,19,450,107,14806.0,Mercaderes,Cauca,7.2267999459678505
380,19,455,217,28540.0,Miranda,Cauca,7.6033637000700764
381,19,473,89,29737.0,Morales,Cauca,2.9929044624541814
382,19,513,37,8763.0,Padilla,Cauca,4.222298299669063
383,19,517,91,37599.0,Paez (belalcazar),Cauca,2.420277135030187
384,19,532,197,28361.0,Patia (el bordo),Cauca,6.946158457036071
385,19,533,37,7124.0,Piamonte,Cauca,5.193711398090961
386,19,548,484,33346.0,Piendamo,Cauca,14.514484495891562
387,19,573,531,40020.0,Puerto tejada,Cauca,13.268365817091453
388,19,585,45,14925.0,Purace (coconuco),Cauca,3.015075376884422
389,19,622,54,9336.0,Rosas,Cauca,5.784061696658098
390,19,693,21,9769.0,San sebastian,Cauca,2.1496570785136657
391,19,698,1998,95348.0,Santander de quilichao,Cauca,20.954818139866592
392,19,701,10,4975.0,Santa rosa,Cauca,2.0100502512562817
393,19,743,192,33380.0,Silvia,Cauca,5.751947273816656
394,19,760,66,11921.0,Sotara (paispamba),Cauca,5.536448284539888
395,19,780,81,19624.0,Suarez,Cauca,4.127598858540563
396,19,807,287,32170.0,Timbio,Cauca,8.921355299968916
397,19,809,62,21614.0,Timbiqui,Cauca,2.8685111501804386
398,19,821,154,30654.0,Toribio,Cauca,5.023814184119527
399,19,824,112,20870.0,Totoro,Cauca,5.366554863440345
400,19,845,283,18761.0,Villarica,Cauca,15.084483769521881
401,20,1,4444,455636.0,Valledupar,Cesar,9.753399643575134
402,20,11,1810,95548.0,Aguachica,Cesar,18.94335831205258
403,20,13,355,58475.0,Agustin codazzi,Cesar,6.070970500213766
404,20,32,35,18434.0,Astrea,Cesar,1.8986655093848324
405,20,45,51,20474.0,Becerril,Cesar,2.4909641496532187
406,20,60,137,37499.0,Bosconia,Cesar,3.653430758153551
407,20,175,55,30272.0,Chimichagua,Cesar,1.816860465116279
408,20,178,101,26976.0,Chiriguana,Cesar,3.7440688018979835
409,20,228,151,34833.0,Curumani,Cesar,4.33496971262883
410,20,238,123,28550.0,El copey,Cesar,4.308231173380035
411,20,250,109,34620.0,El paso,Cesar,3.1484690930098207
412,20,295,78,12444.0,Gamarra,Cesar,6.26808100289296
413,20,310,26,4034.0,Gonzalez,Cesar,6.4452156668319285
